name,value,year,last value,rank
WWE [PPVs],25267,15,#N/A,9
Saturday Night Live,122350,16,#N/A,0
Daybreak,119567,16,#N/A,1
Mortal Kombat [2021],107167,16,#N/A,2
Borderlands 3,96570,16,105822,3
Final Fantasy VII Remake,68238,16,#N/A,4
GameStop,67425,16,#N/A,5
GreedFall,64849,16,#N/A,6
Joker,62609,16,#N/A,7
Pokemon,57331,16,58754,8
Dragon Quest,56879,16,#N/A,9
Mortal Kombat [2021],349599,17,107167,0
Death Stranding,194593,17,#N/A,1
Borderlands 3,148410,17,96570,2
GreedFall,139846,17,64849,3
Call of Duty: Modern Warfare,126266,17,#N/A,4
Arrow,85257,17,#N/A,5
Final Fantasy VII Remake,71167,17,68238,6
Birds of Prey,66709,17,#N/A,7
Peacock,65821,17,#N/A,8
Toy Story 4,58405,17,#N/A,9
Pokemon Shield,224591,18,#N/A,0
Death Stranding,223678,18,194593,1
Rambo: Last Blood,146040,18,#N/A,2
Pokemon Sword,144313,18,#N/A,3
House of X,142422,18,#N/A,4
Ad Astra,115133,18,#N/A,5
LEGO Star Wars: The Skywalker Saga,109518,18,#N/A,6
Mortal Kombat [2021],100415,18,349599,7
Baldur's Gate -- Enhanced Edition,91399,18,#N/A,8
Fortnite,66150,18,#N/A,9
The Legend of Zelda: Link's Awakening,475618,19,#N/A,0
FIFA 20,183675,19,#N/A,1
Smallville,167655,19,#N/A,2
Anthem,165861,19,#N/A,3
Mortal Kombat [2021],138385,19,100415,4
Arrow,97860,19,#N/A,5
Rambo: Last Blood,96476,19,146040,6
PlayStation 4 Pro,87829,19,#N/A,7
American Horror Story,77802,19,#N/A,8
Batman: Arkham Asylum,54812,19,#N/A,9
Rambo: Last Blood,193969,20,96476,0
The Legend of Zelda: Link's Awakening,171261,20,475618,1
Smallville,96544,20,167655,2
PlayStation 4 Pro,85734,20,87829,3
Borderlands 3,81837,20,#N/A,4
Untitled Goose Game,80924,20,#N/A,5
Between Two Ferns: The Movie,67312,20,#N/A,6
Disenchantment,61632,20,#N/A,7
Criminal,60235,20,#N/A,8
Anthem,58694,20,165861,9
The Legend of Zelda,74123,21,#N/A,0
The Legend of Zelda: Link's Awakening,71460,21,171261,1
Rambo: Last Blood,65469,21,193969,2
Killjoys,51688,21,#N/A,3
Untitled Goose Game,44880,21,80924,4
Fortnite,39527,21,#N/A,5
The Dark Crystal: Age of Resistance,33088,21,#N/A,6
Red Dead Redemption 2,32673,21,#N/A,7
Borderlands 3,32408,21,81837,8
Disenchantment,30378,21,61632,9
Primetime Emmy Awards,109961,22,#N/A,0
The Legend of Zelda: Link's Awakening,61460,22,71460,1
Batman: Arkham Origins,58346,22,#N/A,2
Other,43222,22,#N/A,3
Emergence,32815,22,#N/A,4
Rambo: Last Blood,29923,22,65469,5
The Dark Crystal: Age of Resistance,29790,22,33088,6
FIFA 20,28246,22,#N/A,7
Batman [2016 - Current],26367,22,#N/A,8
Untitled Goose Game,26100,22,44880,9
Marvel's Jessica Jones,1014891,23,#N/A,0
Other,121581,23,43222,1
Primetime Emmy Awards,115051,23,109961,2
Batman: Arkham Origins,107798,23,58346,3
The Suicide Squad,102530,23,#N/A,4
Joker,99051,23,#N/A,5
PlayStation 5,73301,23,#N/A,6
The Surge 2,71496,23,#N/A,7
Contra Rogue Corps,56682,23,#N/A,8
Game of Thrones,47824,23,#N/A,9
Joker,555512,24,99051,0
The Last of Us Part II,349302,24,#N/A,1
Star Wars Jedi: Fallen Order,338418,24,#N/A,2
Final Fantasy VII Remake,203926,24,#N/A,3
Batman: Arkham Asylum,166156,24,#N/A,4
Marvel's Jessica Jones,137023,24,1014891,5
Fallout 76,100519,24,#N/A,6
Batwoman,86474,24,#N/A,7
PlayStation 4 Pro,55361,24,#N/A,8
The Surge 2,54921,24,71496,9
Star Wars Jedi: Fallen Order,314203,25,338418,0
Joker,194272,25,555512,1
Toy Story,181000,25,#N/A,2
Call of Duty: Modern Warfare,160888,25,#N/A,3
Spider-Man: Far From Home,151419,25,#N/A,4
The Last of Us Part II,132785,25,349302,5
Mario Kart Tour,91318,25,#N/A,6
Jurassic World 3,81261,25,#N/A,7
Batman: Arkham Asylum,61285,25,166156,8
Crisis On Infinite Earths,40062,25,#N/A,9
Star Wars: The Rise of Skywalker,1622375,26,#N/A,0
Star Wars: The Mandalorian,523269,26,#N/A,1
Star Wars Jedi: Fallen Order,424837,26,314203,2
The Last of Us Part II,376983,26,132785,3
Death Stranding,93227,26,#N/A,4
Code Vein,85782,26,#N/A,5
Call of Duty: Modern Warfare,81453,26,160888,6
Arrow,78269,26,#N/A,7
Nintendo Switch Lite,68976,26,#N/A,8
Mario Kart Tour,53803,26,91318,9
Star Wars: The Rise of Skywalker,688937,27,1622375,0
Spider-Man: Far From Home,393035,27,#N/A,1
Spider-Man 3 [Tom Holland Sequel],226703,27,#N/A,2
BoJack Horseman,213282,27,#N/A,3
Star Wars Jedi: Fallen Order,200183,27,424837,4
Crisis On Infinite Earths,161253,27,#N/A,5
The Last of Us Part II,140926,27,376983,6
Star Wars: The Mandalorian,137504,27,523269,7
Call of Duty: Modern Warfare,95720,27,81453,8
Nintendo Switch Lite,80600,27,68976,9
Call of Duty: Modern Warfare,158631,28,95720,0
The Fast & The Furious 9,153783,28,#N/A,1
Star Wars: The Rise of Skywalker,138286,28,688937,2
BoJack Horseman,118530,28,213282,3
Spider-Man 3 [Tom Holland Sequel],115607,28,226703,4
Minecraft,111065,28,#N/A,5
Star Wars: The Mandalorian,103853,28,137504,6
Nintendo Switch,59049,28,#N/A,7
The Last of Us Part II,54666,28,140926,8
The Witcher,49343,28,#N/A,9
The Fast & The Furious 9,174395,29,153783,0
Batwoman,73105,29,#N/A,1
Star Wars: The Rise of Skywalker,63719,29,138286,2
Death Stranding,63080,29,#N/A,3
Toy Story,57952,29,#N/A,4
The Last of Us Part II,56449,29,54666,5
Call of Duty: Modern Warfare,49697,29,158631,6
Star Wars: The Mandalorian,48447,29,103853,7
Daybreak,47798,29,#N/A,8
Minecraft,40450,29,111065,9
Fire Emblem: Three Houses,172740,30,#N/A,0
Stranger Things,163054,30,#N/A,1
Supergirl,117275,30,#N/A,2
Microsoft Flight Simulator [Next-Gen],101062,30,#N/A,3
Batwoman,89306,30,73105,4
The Irishman,87331,30,#N/A,5
Star Wars: The Rise of Skywalker,83139,30,63719,6
Destiny 2,82162,30,#N/A,7
Resident Evil Revelations,78431,30,#N/A,8
Pokemon,66585,30,#N/A,9
